Image,Name,Price,Rating
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/k/0/p/-original-imagh74bvhrzepng.jpeg?q=70,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹19,490",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/z/b/q/-original-imagxbywcadw6gpa.jpeg?q=70,"Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black, Grey","₹7,790",4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/x/o/w/-original-imagt4z99dgzhggc.jpeg?q=70,"Voltas Beko by A Tata Product 9 kg washing machine with Soft Closing door, Water proof IPX4 protection...","₹12,690",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/o/b/o/-original-imagxxymh95awv2b.jpeg?q=70,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon","₹6,990",
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/6/5/r/-original-imagrmgpzzjv28pq.jpeg?q=70,"Voltas Beko by A Tata Product 7.5 kg with Fast Dry, Double Waterfall, 5 Wing Pulsator Semi Automatic T...","₹9,690",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/p/m/s/-original-imagvfgjgqv2gcjv.jpeg?q=70,"Voltas Beko by A Tata Product 7 kg with Fast Dry, Double Waterfall, 5 Wing Pulsator Semi Automatic Top...","₹8,990",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/i/p/z/-original-imagt985rkse6hhv.jpeg?q=70,Voltas Beko by A Tata Product 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Whi...,"₹25,990",3.9
https://rukminim2.flixcart.com/image/312/312/jz05rww0/washing-machine-new/v/w/k/ws65wlpt1lr-liliput-onida-original-imafj4dcuthbufzm.jpeg?q=70,ONIDA 6.5 kg Washer only Red,"₹5,690",4.2
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/v/5/7/-original-imagt7yrjdqzeffx.jpeg?q=70,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹9,290",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/v/j/8/-original-imagwcnagybujaea.jpeg?q=70,"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹10,140",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/u/r/u/-original-imagx8sgszwzdr9w.jpeg?q=70,SAMSUNG 9 kg Fully Automatic Front Load Washing Machine Black,"₹39,990",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/c/0/u/-original-imagw5ygufgkwksf.jpeg?q=70,Voltas Beko by A Tata Product 6.5 kg Fully Automatic Top Load Washing Machine Black,"₹12,990",4.1
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/c/9/t/-original-imagmu6fds3mvvny.jpeg?q=70,Voltas Beko by A Tata Product 12 kg A Tata Product Anti-allergen Hygiene Boost Washing Machine with Fa...,"₹14,490",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/q/r/m/-original-imagxayakjpkthuz.jpeg?q=70,"Haier 7 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey","₹13,990",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/s/m/v/-original-imags7trhxa6twwf.jpeg?q=70,realme TechLife 8 kg 5 Star Rating Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹14,990",4.2
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/h/r/z/-original-imagtvnhsqgtyfmg.jpeg?q=70,"Thomson 7 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Blue, White","₹7,790",4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/w/f/m/-original-imagvfggdqqchhtf.jpeg?q=70,"Voltas Beko by A Tata Product 8 kg with Fast Dry, Double Waterfall, 5 Wing Pulsator Semi Automatic Top...","₹10,290",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/7/p/w/-original-imagrvdgqsrh8d7t.jpeg?q=70,"Godrej 7 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹13,990",4.2
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/p/r/w/7-5-61-hwm75-708s5nzp-5-220-55-95-haier-95-original-imagxbf6nx36hzey.jpeg?q=70,Haier 7.5 kg Fully Automatic Top Load Washing Machine Grey,"₹16,400",4.9
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/u/l/x/-original-imagx7qhwyfqea6y.jpeg?q=70,"LG 8 kg 5 Star with Steam, Inverter Direct Drive, 6 Motion Direct Drive, Touch Panel and 1400 RPM Full...","₹34,990",4.4
